"CUSTOMER_STATE","SELLER_STATE","CUSTOMER_STATE_LAT","CUSTOMER_STATE_LNG","SELLER_STATE_LAT","SELLER_STATE_LNG","TOTAL_FREIGHT_VALUE"
AP,SP,-0.2302896039963555,-51.34969290152771,-23.191158107928256,-47.05378549380357,3023.9
BA,BA,-12.989871851119448,-39.615591300124855,-12.989871851119448,-39.615591300124855,1669.29
BA,CE,-12.989871851119448,-39.615591300124855,-4.628164063264693,-39.12452010467055,74.01
BA,DF,-12.989871851119448,-39.615591300124855,-15.790607098465964,-48.041233449700464,1132.39
BA,ES,-12.989871851119448,-39.615591300124855,-19.90141177780134,-40.691985842305776,2113.8
BA,GO,-12.989871851119448,-39.615591300124855,-16.544386780171276,-49.27402937998611,251.63
BA,MA,-12.989871851119448,-39.615591300124855,-3.9751512906138347,-44.82710896397979,227.26
BA,MG,-12.989871851119448,-39.615591300124855,-19.768131943331838,-44.25358623321739,15988.84
BA,MS,-12.989871851119448,-39.615591300124855,-21.033754693811588,-54.58754251592346,127.46
BA,MT,-12.989871851119448,-39.615591300124855,-14.24217021245117,-55.43095256054814,178.57
BA,PB,-12.989871851119448,-39.615591300124855,-7.053690918143463,-36.18945874369153,51.72
BA,PE,-12.989871851119448,-39.615591300124855,-8.252919762977053,-35.94553525314061,1011.72
BA,PR,-12.989871851119448,-39.615591300124855,-24.51761690736683,-51.13921446386092,9783.41
BA,RJ,-12.989871851119448,-39.615591300124855,-22.62313258857956,-43.189515153563526,5058.79
BA,RN,-12.989871851119448,-39.615591300124855,-5.864841623635242,-36.236780659852265,181.95
BA,RO,-12.989871851119448,-39.615591300124855,-10.635373026211626,-62.56912646825704,75.12
BA,RS,-12.989871851119448,-39.615591300124855,-29.405371844827677,-51.99545799943851,3679.4
BA,SC,-12.989871851119448,-39.615591300124855,-27.233756086210168,-49.96532630581995,4047.5
BA,SP,-12.989871851119448,-39.615591300124855,-23.191158107928256,-47.05378549380357,95567.83
CE,BA,-4.628164063264693,-39.12452010467055,-12.989871851119448,-39.615591300124855,440.63
CE,CE,-4.628164063264693,-39.12452010467055,-4.628164063264693,-39.12452010467055,385.67
CE,DF,-4.628164063264693,-39.12452010467055,-15.790607098465964,-48.041233449700464,467.28
CE,ES,-4.628164063264693,-39.12452010467055,-19.90141177780134,-40.691985842305776,311.12
CE,GO,-4.628164063264693,-39.12452010467055,-16.544386780171276,-49.27402937998611,713.2
CE,MA,-4.628164063264693,-39.12452010467055,-3.9751512906138347,-44.82710896397979,151.54
CE,MG,-4.628164063264693,-39.12452010467055,-19.768131943331838,-44.25358623321739,3611.68
CE,MT,-4.628164063264693,-39.12452010467055,-14.24217021245117,-55.43095256054814,77.24
CE,PB,-4.628164063264693,-39.12452010467055,-7.053690918143463,-36.18945874369153,123.51
CE,PE,-4.628164063264693,-39.12452010467055,-8.252919762977053,-35.94553525314061,415.58
CE,PI,-4.628164063264693,-39.12452010467055,-6.118307834918054,-42.45894693466691,28.15
CE,PR,-4.628164063264693,-39.12452010467055,-24.51761690736683,-51.13921446386092,3924.64
CE,RJ,-4.628164063264693,-39.12452010467055,-22.62313258857956,-43.189515153563526,2159.45
