"DATE","AVG_SCORE"
"2018-02-28",3.6971
"2018-03-01",3.4248
"2018-03-02",3.4766
"2018-03-03",3.7333
"2018-03-04",3.5641
"2018-03-05",3.3014
"2018-03-06",3.4682
"2018-03-07",3.6000
"2018-03-08",3.6776
"2018-03-09",3.5583
"2018-03-10",3.5442
"2018-03-11",3.5647
"2018-03-12",3.6383
"2018-03-13",3.6425
"2018-03-14",3.5577
"2018-03-15",3.6771
"2018-03-16",3.3932
"2018-03-17",3.8321
"2018-03-18",3.9827
"2018-03-19",3.7229
"2018-03-20",4.0468
"2018-03-21",4.1171
"2018-03-22",3.7908
"2018-03-23",4.0000
"2018-03-24",4.0709
"2018-03-25",4.0270
"2018-03-26",4.0274
"2018-03-27",4.1474
"2018-03-28",3.8599
"2018-03-29",3.6897
"2018-03-30",3.9244
"2018-03-31",3.8268
"2018-04-01",3.9942
"2018-04-02",4.0717
"2018-04-03",4.1813
"2018-04-04",4.0455
"2018-04-05",4.2976
"2018-04-06",3.9935
"2018-04-07",4.0534
"2018-04-08",4.1301
"2018-04-09",4.3232
"2018-04-10",4.0649
"2018-04-11",4.1081
"2018-04-12",4.2371
"2018-04-13",4.1974
"2018-04-14",3.9767
"2018-04-15",4.0655
"2018-04-16",4.2318
"2018-04-17",4.1981
"2018-04-18",4.1116
"2018-04-19",4.0952
"2018-04-20",4.1039
"2018-04-21",4.2109
"2018-04-22",4.1887
"2018-04-23",4.1121
"2018-04-24",4.0889
"2018-04-25",4.2851
"2018-04-26",4.2680
"2018-04-27",4.1726
"2018-04-28",4.0290
"2018-04-29",4.1471
"2018-04-30",4.3281
"2018-05-01",4.1327
"2018-05-02",4.2333
"2018-05-03",4.2620
"2018-05-04",4.2381
"2018-05-05",4.0368
"2018-05-06",4.1628
"2018-05-07",4.1881
"2018-05-08",4.2264
"2018-05-09",4.0916
"2018-05-10",4.1370
"2018-05-11",4.2419
"2018-05-12",3.9878
"2018-05-13",4.0667
"2018-05-14",4.1667
"2018-05-15",4.1896
"2018-05-16",4.1195
"2018-05-17",3.9886
"2018-05-18",4.0000
"2018-05-19",4.1157
"2018-05-20",3.9206
"2018-05-21",4.0242
"2018-05-22",4.0368
"2018-05-23",4.2885
"2018-05-24",4.3535
"2018-05-25",4.4557
"2018-05-26",4.2738
"2018-05-27",4.2706
"2018-05-28",4.3274
"2018-05-29",4.3796
"2018-05-30",4.3596
"2018-05-31",4.3000
"2018-06-01",4.1295
"2018-06-02",4.1532
"2018-06-03",4.3046
"2018-06-04",4.3536
"2018-06-05",4.2313
"2018-06-06",4.1374
"2018-06-07",3.9200
"2018-06-08",4.1076
"2018-06-09",4.3485
"2018-06-10",4.2138
"2018-06-11",4.3088
"2018-06-12",4.2857
"2018-06-13",4.1618
"2018-06-14",4.4269
"2018-06-15",4.2171
"2018-06-16",4.4015
"2018-06-17",4.5520
"2018-06-18",4.4583
"2018-06-19",4.4051
"2018-06-20",4.2398
"2018-06-21",4.2591
"2018-06-22",4.2256
"2018-06-23",4.2459
"2018-06-24",4.4000
"2018-06-25",4.3333
"2018-06-26",4.1639
"2018-06-27",4.3851
"2018-06-28",4.2062
"2018-06-29",4.2701
"2018-06-30",4.3474
"2018-07-01",4.3582
"2018-07-02",4.4304
"2018-07-03",4.4602
"2018-07-04",4.3050
"2018-07-05",4.0204
"2018-07-06",4.4653
"2018-07-07",4.6081
"2018-07-08",4.0505
"2018-07-09",4.2353
"2018-07-10",4.1364
"2018-07-11",4.0306
"2018-07-12",3.9897
"2018-07-13",4.1357
"2018-07-14",4.1293
"2018-07-15",4.0000
"2018-07-16",4.2222
"2018-07-17",4.1566
"2018-07-18",4.4370
"2018-07-19",4.0355
"2018-07-20",4.2604
"2018-07-21",4.4810
"2018-07-22",4.3471
"2018-07-23",4.2575
"2018-07-24",4.2892
"2018-07-25",4.3879
"2018-07-26",4.3166
"2018-07-27",4.3510
"2018-07-28",4.2766
"2018-07-29",4.2993
"2018-07-30",4.1602
"2018-07-31",4.1860
"2018-08-01",4.1429
"2018-08-02",4.0333
"2018-08-03",4.0733
"2018-08-04",4.1263
"2018-08-05",4.1916
"2018-08-06",4.1897
"2018-08-07",4.0737
"2018-08-08",4.1933
"2018-08-09",4.2445
"2018-08-10",4.1658
"2018-08-11",4.2422
"2018-08-12",4.3208
"2018-08-13",4.3836
"2018-08-14",4.1660
"2018-08-15",4.2103
"2018-08-16",4.3769
"2018-08-17",4.3284
"2018-08-18",4.3006
"2018-08-19",4.4783
"2018-08-20",4.4472
"2018-08-21",4.4684
"2018-08-22",4.3878
"2018-08-23",4.3913
"2018-08-24",4.1860
"2018-08-25",4.3922
"2018-08-26",4.4098
"2018-08-27",4.3818
"2018-08-28",4.1471
"2018-08-29",3.6667
"2018-08-30",2.7500
"2018-08-31",5.0000
"2018-09-03",1.0000
"2018-09-06",3.3333
"2018-09-10",1.0000
"2018-09-11",1.0000
"2018-09-12",2.0000
"2018-09-20",2.0000
"2018-09-25",1.0000
"2018-09-26",1.0000
"2018-09-29",1.0000
"2018-10-01",2.0000
"2018-10-17",1.0000
